                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.2506,                0.88767,                 1.2804,                0.64059,                0.44231,                0.48942,                 0.2295,                  2.313,                 1.8515,                 1.9726,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.2488,                0.83585,                 1.2054,                0.73017,                0.42308,                0.48595,                0.22045,                 2.3826,                 1.9517,                 2.0387,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.2378,                0.81792,                 1.1884,                0.60725,                0.36538,                0.42165,                0.17728,                  2.405,                 2.1548,                 2.0379,                0.00134,                0.00134,                0.00134
                    103,                 1.2086,                0.84668,                  1.195,                0.75851,                0.38462,                0.46262,                0.21574,                 2.3116,                 1.9452,                  1.988,              0.0013334,              0.0013334,              0.0013334
                    104,                  1.204,                0.81008,                 1.1973,                0.57822,                0.42308,                0.43574,                0.21355,                 2.2406,                 2.3255,                 1.9594,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.2166,                0.83192,                 1.1965,                0.68554,                0.36538,                0.38607,                0.16185,                 2.3906,                 2.3878,                 2.1026,              0.0013202,              0.0013202,              0.0013202
                    106,                   1.16,                0.79362,                   1.19,                0.60496,                0.35355,                0.37245,                0.17007,                 2.4424,                 2.3786,                 2.1122,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.2612,                0.87627,                 1.2356,                0.62971,                0.32692,                0.38156,                0.18655,                 2.4463,                 2.0069,                  2.118,               0.001307,               0.001307,               0.001307
                    108,                 1.1079,                0.80282,                  1.177,                0.65075,                0.40385,                0.46449,                0.20141,                 2.3732,                  1.933,                 2.0964,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.0923,                0.77329,                 1.1388,                0.67123,                0.42308,                0.45919,                0.21718,                 2.3739,                 1.9184,                 2.1417,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.2341,                0.84318,                 1.2228,                0.71971,                0.42308,                0.46439,                0.20987,                 2.3891,                 1.9233,                 2.1161,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.1595,                0.79421,                 1.1656,                0.53714,                0.44231,                0.44493,                0.20756,                  2.445,                 1.9294,                 2.1742,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.2098,                0.88084,                 1.2253,                0.56343,                0.42308,                0.43423,                 0.1868,                 2.6056,                  1.993,                 2.3083,               0.001274,               0.001274,               0.001274
                    113,                 1.3005,                0.92631,                 1.3367,                0.55854,                0.46154,                0.43188,                0.19226,                 2.6244,                 1.9378,                  2.267,              0.0012674,              0.0012674,              0.0012674
                    114,                 1.1929,                0.83561,                 1.1869,                0.71841,                0.44159,                 0.4697,                0.20221,                 2.4822,                 1.9993,                 2.1623,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.1679,                0.83712,                 1.1632,                0.47852,                    0.5,                0.44642,                0.19863,                 2.4436,                 1.9825,                 2.1254,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.1524,                0.79584,                 1.1959,                0.52062,                0.36538,                0.36982,                0.18011,                 2.3857,                  2.224,                 2.0689,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.1483,                0.90181,                 1.1517,                0.49393,                0.46154,                0.40605,                0.17712,                 2.4362,                 2.0814,                 2.1218,               0.001241,               0.001241,               0.001241
                    118,                 1.1404,                0.80458,                 1.1628,                0.52999,                0.43382,                0.41321,                0.18381,                 2.3312,                 1.9495,                 2.0945,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.1718,                0.81105,                 1.1623,                0.45326,                0.44231,                0.37826,                 0.1644,                  2.329,                 2.1178,                 2.1172,              0.0012278,              0.0012278,              0.0012278
                    120,                 1.1414,                0.79767,                 1.1472,                0.63995,                0.36538,                0.41941,                0.19497,                 2.4188,                 2.0496,                 2.2104,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.1545,                0.81509,                 1.1393,                0.60956,                0.48077,                0.47535,                0.21951,                 2.3636,                 1.8977,                 2.1071,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.1663,                0.83447,                 1.1861,                0.62136,                0.53846,                0.51992,                0.19152,                 2.4261,                 1.8111,                 2.1287,               0.001208,               0.001208,               0.001208
                    123,                 1.1463,                0.78066,                 1.1545,                 0.6449,                0.38462,                0.43485,                0.19932,                 2.4043,                 1.7676,                 2.1238,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.0797,                0.73694,                 1.1413,                0.52852,                0.43126,                0.43989,                0.21382,                 2.3771,                 1.7305,                 2.1266,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.2004,                0.89382,                  1.252,                0.53877,                0.38462,                0.39796,                0.21091,                 2.4019,                 1.8387,                 2.1433,              0.0011882,              0.0011882,              0.0011882
                    126,                 1.0841,                0.74877,                 1.1404,                0.42762,                0.44231,                0.38913,                0.19896,                 2.3157,                 1.9606,                 1.9689,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.0648,                0.75143,                  1.109,                 0.5155,                0.38462,                0.38941,                0.19396,                 2.3282,                 2.1043,                 2.0039,               0.001175,               0.001175,               0.001175
                    128,                 1.1157,                0.79486,                 1.1607,                0.42486,                0.40385,                0.35294,                 0.1738,                 2.3478,                 2.1618,                 2.0868,              0.0011684,              0.0011684,              0.0011684
                    129,                 1.0559,                0.75362,                 1.0983,                0.41846,                0.44231,                0.37935,                0.20331,                 2.2899,                 1.9966,                 2.0695,              0.0011618,              0.0011618,              0.0011618
                    130,                  1.114,                0.75439,                 1.1476,                 0.7221,                0.42308,                0.44666,                0.21438,                 2.2542,                 1.9069,                 2.0023,              0.0011552,              0.0011552,              0.0011552
                    131,                 1.0978,                0.72042,                 1.1621,                 0.7698,                0.44231,                0.45577,                0.22113,                  2.218,                 1.9746,                 1.9744,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.0898,                 0.7763,                  1.138,                0.77416,                0.34615,                0.40083,                0.20684,                 2.2971,                  2.138,                 2.1115,               0.001142,               0.001142,               0.001142
                    133,                 1.0478,                0.74379,                 1.1272,                0.50813,                0.40385,                0.39758,                0.19874,                 2.3156,                 2.0844,                 2.1009,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.0805,                0.74135,                 1.1243,                0.54246,                0.44231,                0.45063,                0.21171,                 2.3493,                 2.0057,                 2.0398,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.0742,                0.75756,                 1.1194,                0.60424,                0.44231,                0.47435,                0.21113,                 2.3568,                 2.0398,                 1.9918,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.1048,                0.73794,                 1.1139,                0.68331,                0.49798,                0.47622,                0.20267,                  2.479,                 1.7836,                 2.1486,              0.0011156,              0.0011156,              0.0011156
                    137,                 1.0715,                0.71483,                  1.142,                0.61785,                 0.4042,                0.40532,                0.16823,                 2.5172,                  1.942,                 2.1883,               0.001109,               0.001109,               0.001109
                    138,                 1.0662,                0.75751,                 1.1119,                0.54286,                0.41118,                0.42694,                0.19491,                 2.4407,                 1.9915,                 2.1108,              0.0011024,              0.0011024,              0.0011024
                    139,                 1.0983,                0.75521,                 1.1367,                0.52285,                0.48077,                0.43703,                0.20027,                 2.3601,                 1.8918,                 2.0146,              0.0010958,              0.0010958,              0.0010958
                    140,                 1.0763,                0.72679,                 1.1171,                0.54616,                0.44231,                0.45524,                0.19898,                  2.385,                 1.8113,                 2.0728,              0.0010892,              0.0010892,              0.0010892
                    141,                 1.0386,                0.72507,                 1.1132,                0.44854,                0.46154,                 0.4184,                0.18144,                 2.4458,                  1.975,                 2.2014,              0.0010826,              0.0010826,              0.0010826
                    142,                 1.1049,                0.76449,                 1.1432,                 0.5465,                0.30769,                0.32078,                0.15056,                  2.552,                 2.2101,                 2.2978,               0.001076,               0.001076,               0.001076
